Date,CO2_w-out,CO2_s-out,CO2_n-out,CO2_e-out,CO2_n-in,CO2_m-in,CO2_m-in-up,CO2_s-in,CO2_w-in,CO2_e-in,NH3_w-out,NH3_s-out,NH3_n-out,NH3_e-out,NH3_n-in,NH3_m-in,NH3_m-in-up,NH3_s-in,NH3_w-in,NH3_e-in,CH4_w-out,CH4_s-out,CH4_n-out,CH4_e-out,CH4_n-in,CH4_m-in,CH4_m-in-up,CH4_s-in,CH4_w-in,CH4_e-in,DoP,Num_ani,Weight,TEMP,Wind_dir,Wind_speed,Milk_yield,Ver_w,Hor_w,CH4_in_mean,CH4_out_mean
2016-11-01 00:00:00,411.0,454.0,483.0,509.0,613.0,614.0,814.0,487.0,434.0,563.0,0.2,0.1,0.6,0.6,1.0,0.8,1.4,0.2,0.3,1.2,2.3,2.9,6.5,9.5,13.1,12.8,23.1,5.4,4.2,13.6,113.5,395.0,695.0,12.9,246.0,1.23,38.55,-0.5002860709832341,-1.1236609129003992,12.033333333333333,5.3
2016-11-01 01:00:00,411.0,454.0,483.0,509.0,613.0,614.0,814.0,487.0,434.0,563.0,0.2,0.1,0.6,0.6,1.0,0.8,1.4,0.2,0.3,1.2,2.3,2.9,6.5,9.5,13.1,12.8,23.1,5.4,4.2,13.6,113.5,395.0,695.0,12.1,238.0,1.62,38.55,-0.8584692080577921,-1.3738379157734102,12.033333333333333,5.3
2016-11-01 02:00:00,411.0,454.0,483.0,509.0,613.0,614.0,814.0,487.0,434.0,563.0,0.2,0.1,0.6,0.6,1.0,0.8,1.4,0.2,0.3,1.2,2.3,2.9,6.5,9.5,13.1,12.8,23.1,5.4,4.2,13.6,113.5,395.0,695.0,12.3,250.0,1.71,38.55,-0.5848544450868932,-1.6068743815439033,12.033333333333333,5.3
2016-11-01 03:00:00,411.0,454.0,483.0,509.0,613.0,614.0,814.0,487.0,434.0,563.0,0.2,0.1,0.6,0.6,1.0,0.8,1.4,0.2,0.3,1.2,2.3,2.9,6.5,9.5,13.1,12.8,23.1,5.4,4.2,13.6,113.5,395.0,695.0,12.5,233.0,1.64,38.55,-0.9869766379693591,-1.30976223647756,12.033333333333333,5.3
2016-11-01 04:00:00,411.0,454.0,483.0,509.0,613.0,614.0,814.0,487.0,434.0,563.0,0.2,0.1,0.6,0.6,1.0,0.8,1.4,0.2,0.3,1.2,2.3,2.9,6.5,9.5,13.1,12.8,23.1,5.4,4.2,13.6,113.5,395.0,695.0,12.3,227.0,1.57,38.55,-1.0707374252981228,-1.1482253115420977,12.033333333333333,5.3
2016-11-01 05:00:00,411.0,454.0,483.0,509.0,613.0,614.0,814.0,487.0,434.0,563.0,0.2,0.1,0.6,0.6,1.0,0.8,1.4,0.2,0.3,1.2,2.3,2.9,6.5,9.5,13.1,12.8,23.1,5.4,4.2,13.6,113.5,395.0,695.0,12.1,216.0,1.67,38.55,-1.3510583806061622,-0.98160137132843,12.033333333333333,5.3
2016-11-01 06:00:00,411.0,454.0,483.0,509.0,613.0,614.0,814.0,487.0,434.0,563.0,0.2,0.1,0.6,0.6,1.0,0.8,1.4,0.2,0.3,1.2,2.3,2.9,6.5,9.5,13.1,12.8,23.1,5.4,4.2,13.6,113.5,395.0,695.0,12.1,229.0,1.71,38.55,-1.1218609395737673,-1.29055338218094,12.033333333333333,5.3
2016-11-01 07:00:00,411.0,454.0,483.0,509.0,613.0,614.0,814.0,487.0,434.0,563.0,0.2,0.1,0.6,0.6,1.0,0.8,1.4,0.2,0.3,1.2,2.3,2.9,6.5,9.5,13.1,12.8,23.1,5.4,4.2,13.6,113.5,395.0,695.0,12.0,223.0,1.89,38.55,-1.3822584960602322,-1.2889769005181217,12.033333333333333,5.3
2016-11-01 08:00:00,411.0,454.0,483.0,509.0,613.0,614.0,814.0,487.0,434.0,563.0,0.2,0.1,0.6,0.6,1.0,0.8,1.4,0.2,0.3,1.2,2.3,2.9,6.5,9.5,13.1,12.8,23.1,5.4,4.2,13.6,113.5,395.0,695.0,11.4,231.0,2.07,38.55,-1.3026932094731642,-1.6086921402159289,12.033333333333333,5.3
2016-11-01 09:00:00,411.0,454.0,483.0,509.0,613.0,614.0,814.0,487.0,434.0,563.0,0.2,0.1,0.6,0.6,1.0,0.8,1.4,0.2,0.3,1.2,2.3,2.9,6.5,9.5,13.1,12.8,23.1,5.4,4.2,13.6,113.5,395.0,695.0,11.2,234.0,2.25,38.55,-1.3225168176580648,-1.8202882373436315,12.033333333333333,5.3
